mscore_id,page_index,width,height,num_staves
sq7313978,0001,9605,495,5
sq7313978,0002,10433,533,5
sq7313978,0003,9521,520,5
sq7313978,0004,9894,533,5
sq7313978,0005,10480,535,5
sq7313978,0006,10373,542,5
sq7313978,0007,10560,537,5
sq7313978,0008,10530,533,5
sq7313978,0009,10565,553,5
sq7313978,0010,9240,520,5
sq7313978,0011,10065,527,5
sq7313978,0012,10405,531,5
sq7313978,0013,10263,520,5
sq7313978,0014,10032,556,5
sq7313978,0015,10330,566,5
sq7313978,0016,10455,532,5
sq7313978,0017,11788,467,6
sq7313978,0018,10330,535,5
sq7313978,0019,10522,573,5
sq7313978,0020,10607,566,5
sq7313978,0021,10491,535,5
sq7313978,0022,10529,549,5
sq7313978,0023,10031,516,5
sq7313978,0024,10546,564,5
sq7313978,0025,10397,567,5
sq7313978,0026,10629,551,5
sq7313978,0027,10587,552,5
sq7313978,0028,10404,553,5
sq7313978,0029,10263,538,5
sq7313978,0030,10481,529,5
sq7313978,0031,10606,553,5
sq7313978,0032,10615,548,5
sq13744399,0001,8193,601,4
sq13744399,0002,10127,660,5
sq13744399,0003,9363,658,5
sq13744399,0004,9522,605,5
sq13744399,0005,10186,559,5
sq13744399,0006,9845,566,5
sq13744399,0007,10212,570,5
sq13744399,0008,9705,560,5
sq13744399,0009,10194,610,5
sq13744399,0010,9995,564,5
sq13744399,0011,8250,649,4
sq13744399,0012,9692,646,5
sq13744399,0013,9744,627,5
sq13744399,0014,9566,535,5
sq13744399,0015,8522,676,4
sq13744399,0016,8357,667,4
sq13744399,0017,8526,686,4
sq13744399,0018,8348,734,4
sq13744399,0019,8307,673,4
sq13744399,0020,10114,586,5
sq13744399,0021,10420,574,5
sq13744399,0022,10134,563,5
sq13744399,0023,9805,577,5
sq13744399,0024,10014,548,5
sq13744399,0025,10506,560,5
sq13744399,0026,10194,619,5
sq13744399,0027,10511,589,5
sq13744399,0028,10244,539,5
sq13744399,0029,10515,586,5
sq7383977,0001,8106,649,4
sq7383977,0002,9519,624,5
sq7383977,0003,10156,561,5
sq7383977,0004,10323,686,5
sq7383977,0005,9920,651,5
sq7383977,0006,9666,648,5
sq7383977,0007,8352,673,4
sq7383977,0008,8515,683,4
sq7383977,0009,8540,675,4
sq7383977,0010,8462,684,4
sq7383977,0011,7869,650,4
sq7383977,0012,8416,705,4
sq7383977,0013,8429,689,4
sq7383977,0014,8298,741,4
sq7383977,0015,7954,651,4
sq7383977,0016,8200,703,4
sq7383977,0017,6408,839,3
sq7383977,0018,6408,856,3
sq7383977,0019,6234,814,3
sq7383977,0020,6403,855,3
sq7383977,0021,6408,823,3
sq7383977,0022,6408,832,3
sq7383977,0023,6408,827,3
sq7383977,0024,8218,649,4
sq7383977,0025,8345,681,4
sq7383977,0026,10015,578,5
sq7383977,0027,10498,612,5
sq7383977,0028,8372,663,4
sq7383977,0029,8532,695,4
sq7383977,0030,8306,653,4
sq7383977,0031,8069,651,4
sq7383977,0032,9784,550,5
sq7383977,0033,8384,707,4
sq7383977,0034,8530,687,4
sq7383977,0035,8544,661,4
sq7383977,0036,8539,658,4
sq7383977,0037,8278,660,4
sq7383977,0038,8539,666,4
sq7295726,0001,8846,526,5
sq7295726,0002,8227,692,4
sq7295726,0003,10023,583,5
sq7295726,0004,9418,654,5
sq7295726,0005,9912,545,5
sq7295726,0006,10032,552,5
sq7295726,0007,8534,734,4
sq7295726,0008,10365,606,5
sq7295726,0009,10308,616,5
sq7295726,0010,8485,726,4
sq7295726,0011,10303,614,5
sq7295726,0012,10240,614,5
sq7295726,0013,8442,668,4
sq7295726,0014,8519,695,4
sq7295726,0015,11950,484,6
sq7295726,0016,10136,523,5
sq7295726,0017,10185,547,5
sq7295726,0018,9908,599,5
sq7295726,0019,10292,598,5
sq7295726,0020,10040,577,5
sq7295726,0021,10510,550,5
sq7295726,0022,12090,480,6
sq7295726,0023,9933,571,5
sq7295726,0024,10346,561,5
sq7295726,0025,11651,551,6
sq7295726,0026,9793,554,5
sq7295726,0027,10183,625,5
sq7295726,0028,10449,603,5
sq7295726,0029,9960,601,5
sq7295726,0030,8514,714,4
sq8741475,0001,8147,637,4
sq8741475,0002,8376,711,4
sq8741475,0003,8090,649,4
sq8741475,0004,9467,528,5
sq8741475,0005,9477,631,5
sq8741475,0006,9798,686,5
sq8741475,0007,10443,610,5
sq8741475,0008,10075,579,5
sq8741475,0009,9702,660,5
sq8741475,0010,9548,537,5
sq8741475,0011,8027,695,4
sq8741475,0012,8152,650,4
sq8741475,0013,8018,720,4
sq8741475,0014,8318,739,4
sq8741475,0015,8177,670,4
sq8741475,0016,7568,616,4
sq8741475,0017,8402,697,4
sq8741475,0018,8168,659,4
sq8741475,0019,8016,730,4
sq8741475,0020,8378,656,4
sq8741475,0021,8003,726,4
sq8741475,0022,8238,687,4
sq8741475,0023,7935,694,4
sq8741475,0024,7643,641,4
sq8741475,0025,8243,664,4
sq8741475,0026,10008,576,5
sq8741475,0027,10144,622,5
sq8741475,0028,10220,645,5
sq8741475,0029,8434,749,4
sq8741475,0030,8213,727,4
sq8741475,0031,9837,649,5
sq8741475,0032,10031,634,5
sq8741475,0033,9237,569,5
sq8741475,0034,8749,536,5
sq8741475,0035,10478,563,5
sq8741475,0036,10203,579,5
sq8741475,0037,10415,562,5
sq8741475,0038,9506,618,5
sq8741475,0039,8215,695,4
sq8741475,0040,8363,734,4
sq8741475,0041,9439,644,5
sq8741475,0042,6403,830,3
sq8741475,0043,8490,736,4
sq8741475,0044,6375,869,3
sq14387632,0001,7972,637,4
sq14387632,0002,10298,678,5
sq14387632,0003,9768,657,5
sq14387632,0004,8412,635,4
sq14387632,0005,9591,620,5
sq14387632,0006,9484,591,5
sq14387632,0007,10431,574,5
sq14387632,0008,6387,838,3
sq14387632,0009,9834,540,5
sq14387632,0010,9915,533,5
sq14387632,0011,8351,678,4
sq14387632,0012,10087,551,5
sq14387632,0013,9577,638,5
sq14387632,0014,9808,540,5
sq14387632,0015,10232,570,5
sq14387632,0016,8439,677,4
sq14387632,0017,8470,677,4
sq14387632,0018,8282,669,4
sq10502527,0001,8270,615,4
sq10502527,0002,9684,515,5
sq10502527,0003,9863,574,5
sq10502527,0004,10135,582,5
sq10502527,0005,10019,551,5
sq10502527,0006,10146,595,5
sq10502527,0007,10029,589,5
sq10502527,0008,10053,543,5
sq10502527,0009,10351,570,5
sq10502527,0010,10226,741,5
sq10502527,0011,10615,575,5
sq10502527,0012,10215,570,5
sq10502527,0013,10201,564,5
sq10502527,0014,9794,568,5
sq10502527,0015,9662,575,5
sq10502527,0016,10141,549,5
sq10502527,0017,9107,521,5
sq10502527,0018,10409,553,5
sq10502527,0019,9711,531,5
sq10502527,0020,10075,637,5
sq10502527,0021,10169,561,5
sq10502527,0022,9393,538,5
sq8071278,0001,12044,420,6
sq8071278,0002,10636,518,5
sq8071278,0003,10646,539,5
sq8071278,0004,10660,553,5
sq8071278,0005,10646,530,5
sq8071278,0006,10645,536,5
sq8071278,0007,10665,538,5
sq8071278,0008,8406,619,4
sq8071278,0009,10572,544,5
sq8071278,0010,10665,538,5
sq8071278,0011,10590,524,5
sq8071278,0012,8522,635,4
sq8071278,0013,10522,509,5
sq8071278,0014,12433,476,6
sq8071278,0015,8400,601,4
sq8071278,0016,10618,520,5
sq8071278,0017,10645,528,5
sq8071278,0018,10650,547,5
sq8071278,0019,10665,543,5
sq8071278,0020,10626,538,5
sq8071278,0021,10636,520,5
sq8071278,0022,10535,540,5
sq8071278,0023,10660,524,5
sq8071278,0024,10562,534,5
sq10527526,0001,8384,616,4
sq10527526,0002,9917,549,5
sq10527526,0003,9867,548,5
sq10527526,0004,8472,664,4
sq10527526,0005,8472,661,4
sq10527526,0006,8506,662,4
sq10527526,0007,9879,554,5
sq10527526,0008,8371,637,4
sq10527526,0009,9676,552,5
sq10527526,0010,9626,544,5
sq10527526,0011,9683,581,5
sq10527526,0012,8413,729,4
sq10527526,0013,8427,699,4
sq10527526,0014,10519,586,5
sq10527526,0015,8062,635,4
sq10527526,0016,9926,538,5
sq10527526,0017,10306,543,5
sq10527526,0018,10168,568,5
sq10527526,0019,10288,569,5
sq10527526,0020,12198,587,6
sq10527526,0021,11454,525,6
sq10527526,0022,10554,557,5
sq10527526,0023,10135,569,5
sq10527526,0024,10436,578,5
sq10527526,0025,10490,555,5
sq10527526,0026,9680,533,5
sq10527526,0027,10027,553,5
sq10527526,0028,9685,534,5
sq10527526,0029,10150,577,5
sq10527526,0030,10109,568,5
sq10527526,0031,10436,549,5
sq10527526,0032,9768,622,5
sq10527526,0033,8510,720,4
sq11539384,0001,7751,603,4
sq11539384,0002,9859,667,5
sq11539384,0003,8471,687,4
sq11539384,0004,10305,579,5
sq11539384,0005,8175,688,4
sq11539384,0006,10043,565,5
sq11539384,0007,9737,643,5
sq11539384,0008,9756,677,5
sq11539384,0009,9705,661,5
sq11539384,0010,8534,679,4
sq11539384,0011,8305,693,4
sq11539384,0012,8517,686,4
sq11539384,0013,9783,535,5
sq11539384,0014,10421,594,5
sq11539384,0015,10257,550,5
sq11539384,0016,8336,665,4
sq11539384,0017,9907,655,5
sq11539384,0018,9732,662,5
sq11539384,0019,9236,636,5
sq11539384,0020,7963,656,4
sq11539384,0021,8351,709,4
sq11539384,0022,8252,674,4
sq11539384,0023,8450,693,4
sq11539384,0024,6253,885,3
sq11539384,0025,8460,710,4
sq11539384,0026,8530,660,4
sq11539384,0027,8097,679,4
sq11539384,0028,6397,869,3
sq11539384,0029,6250,815,3
sq11539384,0030,8499,658,4
sq11539384,0031,6405,853,3
sq11539384,0032,8302,635,4
sq11539384,0033,10185,581,5
sq11539384,0034,9998,663,5
sq11539384,0035,8331,700,4
sq11539384,0036,9713,657,5
sq11539384,0037,9789,555,5
sq11539384,0038,10050,578,5
sq11539384,0039,10365,709,5
sq11539384,0040,10182,669,5
sq11539384,0041,8370,698,4
sq11539384,0042,8075,685,4
sq11539384,0043,8501,734,4
sq11539384,0044,8275,712,4
sq11539384,0045,8423,684,4
sq11539384,0046,8431,719,4
sq8853405,0001,8291,589,4
sq8853405,0002,10520,566,5
sq8853405,0003,10211,559,5
sq8853405,0004,10036,549,5
sq8853405,0005,10647,562,5
sq8853405,0006,10103,558,5
sq8853405,0007,9943,524,5
sq8853405,0008,9996,539,5
sq8853405,0009,9444,550,5
sq8853405,0010,6263,815,3
sq8853405,0011,8522,712,4
sq8853405,0012,8530,668,4
sq8853405,0013,8394,638,4
sq8853405,0014,10373,549,5
sq8853405,0015,10059,563,5
sq8853405,0016,10624,582,5
sq8853405,0017,10008,554,5
sq8853405,0018,10266,552,5
sq8853405,0019,9858,541,5
sq8907120,0001,8354,601,4
sq8907120,0002,10660,533,5
sq8907120,0003,10503,546,5
sq8907120,0004,8522,641,4
sq8907120,0005,8531,675,4
sq8907120,0006,10494,567,5
sq8907120,0007,8526,651,4
sq8907120,0008,8386,655,4
sq8907120,0009,10337,541,5
sq8907120,0010,10246,539,5
sq8907120,0011,10360,550,5
sq8907120,0012,8522,660,4
sq8907120,0013,8395,637,4
sq8907120,0014,8492,635,4
sq8907120,0015,8522,656,4
sq8907120,0016,8401,619,4
sq8907120,0017,10660,628,5
sq8907120,0018,10231,573,5
sq8907120,0019,10632,545,5
sq8907120,0020,10600,549,5
sq8907120,0021,10182,546,5
sq8907120,0022,10646,556,5
sq8907120,0023,10180,588,5
sq8907120,0024,8522,652,4
sq8913219,0001,8099,585,4
sq8913219,0002,10545,557,5
sq8913219,0003,10191,566,5
